date,province,confirmed,deaths,recovered
2020-06-06,KPK,13001,561,3450
2020-06-06,Punjab,37090,683,8109
2020-06-06,Sindh,36364,634,18265
2020-06-07,AJK,396,8,195
2020-06-07,Balochistan,6516,54,2313
2020-06-07,GB,932,13,577
2020-06-07,Islamabad,5329,52,843
2020-06-07,KPK,13487,575,3542
2020-06-07,Punjab,38903,715,8109
2020-06-07,Sindh,38108,650,18776
2020-06-08,AJK,412,9,209
2020-06-08,Balochistan,6788,58,2360
2020-06-08,GB,952,14,597
2020-06-08,Islamabad,5785,52,843
2020-06-08,KPK,14006,587,3579
2020-06-08,Punjab,40819,773,8293
2020-06-08,Sindh,39555,679,19137
2020-06-09,AJK,444,9,217
2020-06-09,Balochistan,7031,62,2462
2020-06-09,GB,974,14,616
2020-06-09,Islamabad,5963,57,843
2020-06-09,KPK,14527,610,3631
2020-06-09,Punjab,43460,807,8643
2020-06-09,Sindh,41303,696,19896
2020-06-10,AJK,488,9,219
2020-06-10,Balochistan,7335,73,2592
2020-06-10,GB,1018,14,633
2020-06-10,Islamabad,6236,62,1164
2020-06-10,KPK,15206,619,3771
2020-06-10,Punjab,45463,841,9005
2020-06-10,Sindh,43790,738,21007
2020-06-11,AJK,534,10,237
2020-06-11,Balochistan,7673,75,2673
2020-06-11,GB,1030,15,673
2020-06-11,Islamabad,6699,65,1164
2020-06-11,KPK,15787,632,3907
2020-06-11,Punjab,47382,890,9546
2020-06-11,Sindh,46828,776,22047
2020-06-12,AJK,574,11,242
2020-06-12,Balochistan,7866,80,2722
2020-06-12,GB,1044,16,676
2020-06-12,Islamabad,7163,71,1671
2020-06-12,KPK,16415,642,4072
2020-06-12,Punjab,50087,938,17560
2020-06-12,Sindh,49256,793,23113
2020-06-13,AJK,604,12,250
2020-06-13,Balochistan,8028,83,2795
2020-06-13,GB,1095,16,691
2020-06-13,Islamabad,7934,75,1671
2020-06-13,KPK,17450,661,4291
2020-06-13,Punjab,52601,969,17650
2020-06-13,Sindh,51518,816,24387
2020-06-14,AJK,647,13,254
2020-06-14,Balochistan,8177,85,2859
2020-06-14,GB,1129,16,716
2020-06-14,Islamabad,8569,78,2037
2020-06-14,KPK,18013,675,4539
2020-06-14,Punjab,54138,1031,17710
2020-06-14,Sindh,53805,831,25606
2020-06-15,AJK,663,13,264
2020-06-15,Balochistan,8327,85,2916
