Alue;Aika;val
Länsi-Pohjan SHP;2020-01-25;
Lapin SHP;2020-01-25;
Helsingin ja Uudenmaan SHP;2020-01-25;
Kaikki Alueet;2020-01-25;
Ahvenanmaa;2020-01-26;
Varsinais-Suomen SHP;2020-01-26;
Satakunnan SHP;2020-01-26;
Kanta-Hämeen SHP;2020-01-26;
Pirkanmaan SHP;2020-01-26;
Päijät-Hämeen SHP;2020-01-26;
Kymenlaakson SHP;2020-01-26;
Etelä-Karjalan SHP;2020-01-26;
Etelä-Savon SHP;2020-01-26;
Itä-Savon SHP;2020-01-26;
Pohjois-Karjalan SHP;2020-01-26;
Pohjois-Savon SHP;2020-01-26;
Keski-Suomen SHP;2020-01-26;
Etelä-Pohjanmaan SHP;2020-01-26;
Vaasan SHP;2020-01-26;
Keski-Pohjanmaan SHP;2020-01-26;
Pohjois-Pohjanmaan SHP;2020-01-26;
Kainuun SHP;2020-01-26;
Länsi-Pohjan SHP;2020-01-26;
Lapin SHP;2020-01-26;
Helsingin ja Uudenmaan SHP;2020-01-26;
Kaikki Alueet;2020-01-26;
Ahvenanmaa;2020-01-27;
Varsinais-Suomen SHP;2020-01-27;
Satakunnan SHP;2020-01-27;
Kanta-Hämeen SHP;2020-01-27;
Pirkanmaan SHP;2020-01-27;
Päijät-Hämeen SHP;2020-01-27;
Kymenlaakson SHP;2020-01-27;
Etelä-Karjalan SHP;2020-01-27;
Etelä-Savon SHP;2020-01-27;
Itä-Savon SHP;2020-01-27;
Pohjois-Karjalan SHP;2020-01-27;
Pohjois-Savon SHP;2020-01-27;
Keski-Suomen SHP;2020-01-27;
Etelä-Pohjanmaan SHP;2020-01-27;
Vaasan SHP;2020-01-27;
Keski-Pohjanmaan SHP;2020-01-27;
Pohjois-Pohjanmaan SHP;2020-01-27;
Kainuun SHP;2020-01-27;
Länsi-Pohjan SHP;2020-01-27;
Lapin SHP;2020-01-27;
Helsingin ja Uudenmaan SHP;2020-01-27;
Kaikki Alueet;2020-01-27;
Ahvenanmaa;2020-01-28;0
Varsinais-Suomen SHP;2020-01-28;0
Satakunnan SHP;2020-01-28;0
Kanta-Hämeen SHP;2020-01-28;0
Pirkanmaan SHP;2020-01-28;0
Päijät-Hämeen SHP;2020-01-28;0
Kymenlaakson SHP;2020-01-28;0
Etelä-Karjalan SHP;2020-01-28;0
Etelä-Savon SHP;2020-01-28;0
Itä-Savon SHP;2020-01-28;0
Pohjois-Karjalan SHP;2020-01-28;0
Pohjois-Savon SHP;2020-01-28;0
Keski-Suomen SHP;2020-01-28;0
Etelä-Pohjanmaan SHP;2020-01-28;0
Vaasan SHP;2020-01-28;0
Keski-Pohjanmaan SHP;2020-01-28;0
Pohjois-Pohjanmaan SHP;2020-01-28;0
Kainuun SHP;2020-01-28;0
Länsi-Pohjan SHP;2020-01-28;0
Lapin SHP;2020-01-28;0
Helsingin ja Uudenmaan SHP;2020-01-28;1
Kaikki Alueet;2020-01-28;1
Ahvenanmaa;2020-01-29;0
Varsinais-Suomen SHP;2020-01-29;0
Satakunnan SHP;2020-01-29;0
