Alue;Aika;val
Päijät-Hämeen SHP;2020-01-31;0
Kymenlaakson SHP;2020-01-31;0
Etelä-Karjalan SHP;2020-01-31;0
Etelä-Savon SHP;2020-01-31;0
Itä-Savon SHP;2020-01-31;0
Pohjois-Karjalan SHP;2020-01-31;0
Pohjois-Savon SHP;2020-01-31;0
Keski-Suomen SHP;2020-01-31;0
Etelä-Pohjanmaan SHP;2020-01-31;0
Vaasan SHP;2020-01-31;0
Keski-Pohjanmaan SHP;2020-01-31;0
Pohjois-Pohjanmaan SHP;2020-01-31;0
Kainuun SHP;2020-01-31;0
Länsi-Pohjan SHP;2020-01-31;0
Lapin SHP;2020-01-31;0
Helsingin ja Uudenmaan SHP;2020-01-31;0
Kaikki Alueet;2020-01-31;0
Ahvenanmaa;2020-02-01;0
Varsinais-Suomen SHP;2020-02-01;0
Satakunnan SHP;2020-02-01;0
Kanta-Hämeen SHP;2020-02-01;0
Pirkanmaan SHP;2020-02-01;0
Päijät-Hämeen SHP;2020-02-01;0
Kymenlaakson SHP;2020-02-01;0
Etelä-Karjalan SHP;2020-02-01;0
Etelä-Savon SHP;2020-02-01;0
Itä-Savon SHP;2020-02-01;0
Pohjois-Karjalan SHP;2020-02-01;0
Pohjois-Savon SHP;2020-02-01;0
Keski-Suomen SHP;2020-02-01;0
Etelä-Pohjanmaan SHP;2020-02-01;0
Vaasan SHP;2020-02-01;0
Keski-Pohjanmaan SHP;2020-02-01;0
Pohjois-Pohjanmaan SHP;2020-02-01;0
Kainuun SHP;2020-02-01;0
Länsi-Pohjan SHP;2020-02-01;0
Lapin SHP;2020-02-01;0
Helsingin ja Uudenmaan SHP;2020-02-01;0
Kaikki Alueet;2020-02-01;0
Ahvenanmaa;2020-02-02;0
Varsinais-Suomen SHP;2020-02-02;0
Satakunnan SHP;2020-02-02;0
Kanta-Hämeen SHP;2020-02-02;0
Pirkanmaan SHP;2020-02-02;0
Päijät-Hämeen SHP;2020-02-02;0
Kymenlaakson SHP;2020-02-02;0
Etelä-Karjalan SHP;2020-02-02;0
Etelä-Savon SHP;2020-02-02;0
Itä-Savon SHP;2020-02-02;0
Pohjois-Karjalan SHP;2020-02-02;0
Pohjois-Savon SHP;2020-02-02;0
Keski-Suomen SHP;2020-02-02;0
Etelä-Pohjanmaan SHP;2020-02-02;0
Vaasan SHP;2020-02-02;0
Keski-Pohjanmaan SHP;2020-02-02;0
Pohjois-Pohjanmaan SHP;2020-02-02;0
Kainuun SHP;2020-02-02;0
Länsi-Pohjan SHP;2020-02-02;0
Lapin SHP;2020-02-02;0
Helsingin ja Uudenmaan SHP;2020-02-02;0
Kaikki Alueet;2020-02-02;0
Ahvenanmaa;2020-02-03;0
Varsinais-Suomen SHP;2020-02-03;0
Satakunnan SHP;2020-02-03;0
Kanta-Hämeen SHP;2020-02-03;0
Pirkanmaan SHP;2020-02-03;0
Päijät-Hämeen SHP;2020-02-03;0
Kymenlaakson SHP;2020-02-03;0
Etelä-Karjalan SHP;2020-02-03;0
Etelä-Savon SHP;2020-02-03;0
Itä-Savon SHP;2020-02-03;0
Pohjois-Karjalan SHP;2020-02-03;0
Pohjois-Savon SHP;2020-02-03;0
Keski-Suomen SHP;2020-02-03;0
Etelä-Pohjanmaan SHP;2020-02-03;0
Vaasan SHP;2020-02-03;0
Keski-Pohjanmaan SHP;2020-02-03;0
Pohjois-Pohjanmaan SHP;2020-02-03;0
Kainuun SHP;2020-02-03;0
Länsi-Pohjan SHP;2020-02-03;0
Lapin SHP;2020-02-03;0
Helsingin ja Uudenmaan SHP;2020-02-03;0
Kaikki Alueet;2020-02-03;0
Ahvenanmaa;2020-02-04;0
Varsinais-Suomen SHP;2020-02-04;0
Satakunnan SHP;2020-02-04;0
Kanta-Hämeen SHP;2020-02-04;0
Pirkanmaan SHP;2020-02-04;0
Päijät-Hämeen SHP;2020-02-04;0
Kymenlaakson SHP;2020-02-04;0
Etelä-Karjalan SHP;2020-02-04;0
Etelä-Savon SHP;2020-02-04;0
Itä-Savon SHP;2020-02-04;0
Pohjois-Karjalan SHP;2020-02-04;0
Pohjois-Savon SHP;2020-02-04;0
Keski-Suomen SHP;2020-02-04;0
Etelä-Pohjanmaan SHP;2020-02-04;0
Vaasan SHP;2020-02-04;0
Keski-Pohjanmaan SHP;2020-02-04;0
Pohjois-Pohjanmaan SHP;2020-02-04;0
Kainuun SHP;2020-02-04;0
Länsi-Pohjan SHP;2020-02-04;0
Lapin SHP;2020-02-04;0
Helsingin ja Uudenmaan SHP;2020-02-04;0
Kaikki Alueet;2020-02-04;0
Ahvenanmaa;2020-02-05;0
Varsinais-Suomen SHP;2020-02-05;0
Satakunnan SHP;2020-02-05;0
Kanta-Hämeen SHP;2020-02-05;0
Pirkanmaan SHP;2020-02-05;0
Päijät-Hämeen SHP;2020-02-05;0
Kymenlaakson SHP;2020-02-05;0
Etelä-Karjalan SHP;2020-02-05;0
Etelä-Savon SHP;2020-02-05;0
Itä-Savon SHP;2020-02-05;0
Pohjois-Karjalan SHP;2020-02-05;0
Pohjois-Savon SHP;2020-02-05;0
Keski-Suomen SHP;2020-02-05;0
Etelä-Pohjanmaan SHP;2020-02-05;0
Vaasan SHP;2020-02-05;0
Keski-Pohjanmaan SHP;2020-02-05;0
Pohjois-Pohjanmaan SHP;2020-02-05;0
Kainuun SHP;2020-02-05;0
Länsi-Pohjan SHP;2020-02-05;0
Lapin SHP;2020-02-05;0
Helsingin ja Uudenmaan SHP;2020-02-05;0
Kaikki Alueet;2020-02-05;0
Ahvenanmaa;2020-02-06;0
Varsinais-Suomen SHP;2020-02-06;0
Satakunnan SHP;2020-02-06;0
Kanta-Hämeen SHP;2020-02-06;0
Pirkanmaan SHP;2020-02-06;0
Päijät-Hämeen SHP;2020-02-06;0
Kymenlaakson SHP;2020-02-06;0
Etelä-Karjalan SHP;2020-02-06;0
Etelä-Savon SHP;2020-02-06;0
Itä-Savon SHP;2020-02-06;0
Pohjois-Karjalan SHP;2020-02-06;0
Pohjois-Savon SHP;2020-02-06;0
Keski-Suomen SHP;2020-02-06;0
Etelä-Pohjanmaan SHP;2020-02-06;0
Vaasan SHP;2020-02-06;0
Keski-Pohjanmaan SHP;2020-02-06;0
Pohjois-Pohjanmaan SHP;2020-02-06;0
Kainuun SHP;2020-02-06;0
Länsi-Pohjan SHP;2020-02-06;0
Lapin SHP;2020-02-06;0
Helsingin ja Uudenmaan SHP;2020-02-06;0
Kaikki Alueet;2020-02-06;0
Ahvenanmaa;2020-02-07;0
Varsinais-Suomen SHP;2020-02-07;0
Satakunnan SHP;2020-02-07;0
Kanta-Hämeen SHP;2020-02-07;0
Pirkanmaan SHP;2020-02-07;0
Päijät-Hämeen SHP;2020-02-07;0
Kymenlaakson SHP;2020-02-07;0
Etelä-Karjalan SHP;2020-02-07;0
Etelä-Savon SHP;2020-02-07;0
Itä-Savon SHP;2020-02-07;0
Pohjois-Karjalan SHP;2020-02-07;0
Pohjois-Savon SHP;2020-02-07;0
Keski-Suomen SHP;2020-02-07;0
Etelä-Pohjanmaan SHP;2020-02-07;0
Vaasan SHP;2020-02-07;0
Keski-Pohjanmaan SHP;2020-02-07;0
Pohjois-Pohjanmaan SHP;2020-02-07;0
Kainuun SHP;2020-02-07;0
Länsi-Pohjan SHP;2020-02-07;0
Lapin SHP;2020-02-07;0
Helsingin ja Uudenmaan SHP;2020-02-07;0
Kaikki Alueet;2020-02-07;0
Ahvenanmaa;2020-02-08;0
Varsinais-Suomen SHP;2020-02-08;0
Satakunnan SHP;2020-02-08;0
Kanta-Hämeen SHP;2020-02-08;0
Pirkanmaan SHP;2020-02-08;0
Päijät-Hämeen SHP;2020-02-08;0
Kymenlaakson SHP;2020-02-08;0
Etelä-Karjalan SHP;2020-02-08;0
Etelä-Savon SHP;2020-02-08;0
Itä-Savon SHP;2020-02-08;0
Pohjois-Karjalan SHP;2020-02-08;0
Pohjois-Savon SHP;2020-02-08;0
Keski-Suomen SHP;2020-02-08;0
Etelä-Pohjanmaan SHP;2020-02-08;0
Vaasan SHP;2020-02-08;0
Keski-Pohjanmaan SHP;2020-02-08;0
Pohjois-Pohjanmaan SHP;2020-02-08;0
Kainuun SHP;2020-02-08;0
Länsi-Pohjan SHP;2020-02-08;0
Lapin SHP;2020-02-08;0
Helsingin ja Uudenmaan SHP;2020-02-08;0
Kaikki Alueet;2020-02-08;0
Ahvenanmaa;2020-02-09;0
Varsinais-Suomen SHP;2020-02-09;0
Satakunnan SHP;2020-02-09;0
Kanta-Hämeen SHP;2020-02-09;0
Pirkanmaan SHP;2020-02-09;0
Päijät-Hämeen SHP;2020-02-09;0
Kymenlaakson SHP;2020-02-09;0
Etelä-Karjalan SHP;2020-02-09;0
Etelä-Savon SHP;2020-02-09;0
Itä-Savon SHP;2020-02-09;0
Pohjois-Karjalan SHP;2020-02-09;0
Pohjois-Savon SHP;2020-02-09;0
Keski-Suomen SHP;2020-02-09;0
Etelä-Pohjanmaan SHP;2020-02-09;0
Vaasan SHP;2020-02-09;0
Keski-Pohjanmaan SHP;2020-02-09;0
Pohjois-Pohjanmaan SHP;2020-02-09;0
Kainuun SHP;2020-02-09;0
Länsi-Pohjan SHP;2020-02-09;0
Lapin SHP;2020-02-09;0
Helsingin ja Uudenmaan SHP;2020-02-09;0
Kaikki Alueet;2020-02-09;0
Ahvenanmaa;2020-02-10;0
Varsinais-Suomen SHP;2020-02-10;0
Satakunnan SHP;2020-02-10;0
Kanta-Hämeen SHP;2020-02-10;0
Pirkanmaan SHP;2020-02-10;0
Päijät-Hämeen SHP;2020-02-10;0
Kymenlaakson SHP;2020-02-10;0
Etelä-Karjalan SHP;2020-02-10;0
Etelä-Savon SHP;2020-02-10;0
Itä-Savon SHP;2020-02-10;0
Pohjois-Karjalan SHP;2020-02-10;0
Pohjois-Savon SHP;2020-02-10;0
Keski-Suomen SHP;2020-02-10;0
Etelä-Pohjanmaan SHP;2020-02-10;0
Vaasan SHP;2020-02-10;0
Keski-Pohjanmaan SHP;2020-02-10;0
Pohjois-Pohjanmaan SHP;2020-02-10;0
Kainuun SHP;2020-02-10;0
Länsi-Pohjan SHP;2020-02-10;0
Lapin SHP;2020-02-10;0
Helsingin ja Uudenmaan SHP;2020-02-10;1
Kaikki Alueet;2020-02-10;1
Ahvenanmaa;2020-02-11;0
Varsinais-Suomen SHP;2020-02-11;0
Satakunnan SHP;2020-02-11;0
Kanta-Hämeen SHP;2020-02-11;0
Pirkanmaan SHP;2020-02-11;0
Päijät-Hämeen SHP;2020-02-11;0
Kymenlaakson SHP;2020-02-11;0
Etelä-Karjalan SHP;2020-02-11;0
Etelä-Savon SHP;2020-02-11;0
Itä-Savon SHP;2020-02-11;0
Pohjois-Karjalan SHP;2020-02-11;0
Pohjois-Savon SHP;2020-02-11;0
Keski-Suomen SHP;2020-02-11;0
Etelä-Pohjanmaan SHP;2020-02-11;0
Vaasan SHP;2020-02-11;0
Keski-Pohjanmaan SHP;2020-02-11;0
Pohjois-Pohjanmaan SHP;2020-02-11;0
Kainuun SHP;2020-02-11;0
Länsi-Pohjan SHP;2020-02-11;0
Lapin SHP;2020-02-11;0
Helsingin ja Uudenmaan SHP;2020-02-11;0
Kaikki Alueet;2020-02-11;0
Ahvenanmaa;2020-02-12;0
Varsinais-Suomen SHP;2020-02-12;0
Satakunnan SHP;2020-02-12;0
Kanta-Hämeen SHP;2020-02-12;0
Pirkanmaan SHP;2020-02-12;0
Päijät-Hämeen SHP;2020-02-12;0
Kymenlaakson SHP;2020-02-12;0
Etelä-Karjalan SHP;2020-02-12;0
Etelä-Savon SHP;2020-02-12;0
Itä-Savon SHP;2020-02-12;0
Pohjois-Karjalan SHP;2020-02-12;0
Pohjois-Savon SHP;2020-02-12;0
Keski-Suomen SHP;2020-02-12;0
Etelä-Pohjanmaan SHP;2020-02-12;0
Vaasan SHP;2020-02-12;0
Keski-Pohjanmaan SHP;2020-02-12;0
Pohjois-Pohjanmaan SHP;2020-02-12;0
Kainuun SHP;2020-02-12;0
Länsi-Pohjan SHP;2020-02-12;0
Lapin SHP;2020-02-12;0
Helsingin ja Uudenmaan SHP;2020-02-12;0
Kaikki Alueet;2020-02-12;0
Ahvenanmaa;2020-02-13;0
Varsinais-Suomen SHP;2020-02-13;0
Satakunnan SHP;2020-02-13;0
Kanta-Hämeen SHP;2020-02-13;0
Pirkanmaan SHP;2020-02-13;0
Päijät-Hämeen SHP;2020-02-13;0
Kymenlaakson SHP;2020-02-13;0
Etelä-Karjalan SHP;2020-02-13;0
Etelä-Savon SHP;2020-02-13;0
Itä-Savon SHP;2020-02-13;0
Pohjois-Karjalan SHP;2020-02-13;0
Pohjois-Savon SHP;2020-02-13;0
Keski-Suomen SHP;2020-02-13;0
Etelä-Pohjanmaan SHP;2020-02-13;0
Vaasan SHP;2020-02-13;0
Keski-Pohjanmaan SHP;2020-02-13;0
Pohjois-Pohjanmaan SHP;2020-02-13;0
Kainuun SHP;2020-02-13;0
Länsi-Pohjan SHP;2020-02-13;0
Lapin SHP;2020-02-13;0
Helsingin ja Uudenmaan SHP;2020-02-13;0
Kaikki Alueet;2020-02-13;0
Ahvenanmaa;2020-02-14;0
Varsinais-Suomen SHP;2020-02-14;0
Satakunnan SHP;2020-02-14;0
Kanta-Hämeen SHP;2020-02-14;0
Pirkanmaan SHP;2020-02-14;0
Päijät-Hämeen SHP;2020-02-14;0
Kymenlaakson SHP;2020-02-14;0
Etelä-Karjalan SHP;2020-02-14;0
Etelä-Savon SHP;2020-02-14;0
Itä-Savon SHP;2020-02-14;0
Pohjois-Karjalan SHP;2020-02-14;0
Pohjois-Savon SHP;2020-02-14;0
Keski-Suomen SHP;2020-02-14;0
Etelä-Pohjanmaan SHP;2020-02-14;0
Vaasan SHP;2020-02-14;0
Keski-Pohjanmaan SHP;2020-02-14;0
Pohjois-Pohjanmaan SHP;2020-02-14;0
Kainuun SHP;2020-02-14;0
Länsi-Pohjan SHP;2020-02-14;0
Lapin SHP;2020-02-14;0
Helsingin ja Uudenmaan SHP;2020-02-14;0
Kaikki Alueet;2020-02-14;0
Ahvenanmaa;2020-02-15;0
Varsinais-Suomen SHP;2020-02-15;0
Satakunnan SHP;2020-02-15;0
Kanta-Hämeen SHP;2020-02-15;0
Pirkanmaan SHP;2020-02-15;0
Päijät-Hämeen SHP;2020-02-15;0
Kymenlaakson SHP;2020-02-15;0
Etelä-Karjalan SHP;2020-02-15;0
Etelä-Savon SHP;2020-02-15;0
Itä-Savon SHP;2020-02-15;0
Pohjois-Karjalan SHP;2020-02-15;0
Pohjois-Savon SHP;2020-02-15;0
Keski-Suomen SHP;2020-02-15;0
Etelä-Pohjanmaan SHP;2020-02-15;0
Vaasan SHP;2020-02-15;0
Keski-Pohjanmaan SHP;2020-02-15;0
Pohjois-Pohjanmaan SHP;2020-02-15;0
Kainuun SHP;2020-02-15;0
Länsi-Pohjan SHP;2020-02-15;0
Lapin SHP;2020-02-15;0
Helsingin ja Uudenmaan SHP;2020-02-15;0
Kaikki Alueet;2020-02-15;0
Ahvenanmaa;2020-02-16;0
Varsinais-Suomen SHP;2020-02-16;0
Satakunnan SHP;2020-02-16;0
Kanta-Hämeen SHP;2020-02-16;0
Pirkanmaan SHP;2020-02-16;0
Päijät-Hämeen SHP;2020-02-16;0
Kymenlaakson SHP;2020-02-16;0
Etelä-Karjalan SHP;2020-02-16;0
Etelä-Savon SHP;2020-02-16;0
Itä-Savon SHP;2020-02-16;0
Pohjois-Karjalan SHP;2020-02-16;0
Pohjois-Savon SHP;2020-02-16;0
Keski-Suomen SHP;2020-02-16;0
Etelä-Pohjanmaan SHP;2020-02-16;0
Vaasan SHP;2020-02-16;0
Keski-Pohjanmaan SHP;2020-02-16;0
Pohjois-Pohjanmaan SHP;2020-02-16;0
Kainuun SHP;2020-02-16;0
Länsi-Pohjan SHP;2020-02-16;0
Lapin SHP;2020-02-16;0
Helsingin ja Uudenmaan SHP;2020-02-16;0
Kaikki Alueet;2020-02-16;0
Ahvenanmaa;2020-02-17;0
Varsinais-Suomen SHP;2020-02-17;0
Satakunnan SHP;2020-02-17;0
Kanta-Hämeen SHP;2020-02-17;0
Pirkanmaan SHP;2020-02-17;0
Päijät-Hämeen SHP;2020-02-17;0
Kymenlaakson SHP;2020-02-17;0
Etelä-Karjalan SHP;2020-02-17;0
Etelä-Savon SHP;2020-02-17;0
Itä-Savon SHP;2020-02-17;0
Pohjois-Karjalan SHP;2020-02-17;0
Pohjois-Savon SHP;2020-02-17;0
Keski-Suomen SHP;2020-02-17;0
Etelä-Pohjanmaan SHP;2020-02-17;0
Vaasan SHP;2020-02-17;0
Keski-Pohjanmaan SHP;2020-02-17;0
Pohjois-Pohjanmaan SHP;2020-02-17;0
Kainuun SHP;2020-02-17;0
Länsi-Pohjan SHP;2020-02-17;0
Lapin SHP;2020-02-17;0
Helsingin ja Uudenmaan SHP;2020-02-17;0
Kaikki Alueet;2020-02-17;0
Ahvenanmaa;2020-02-18;0
Varsinais-Suomen SHP;2020-02-18;0
Satakunnan SHP;2020-02-18;0
Kanta-Hämeen SHP;2020-02-18;0
Pirkanmaan SHP;2020-02-18;0
Päijät-Hämeen SHP;2020-02-18;0
Kymenlaakson SHP;2020-02-18;0
Etelä-Karjalan SHP;2020-02-18;0
Etelä-Savon SHP;2020-02-18;0
Itä-Savon SHP;2020-02-18;0
Pohjois-Karjalan SHP;2020-02-18;0
Pohjois-Savon SHP;2020-02-18;0
Keski-Suomen SHP;2020-02-18;0
Etelä-Pohjanmaan SHP;2020-02-18;0
Vaasan SHP;2020-02-18;0
Keski-Pohjanmaan SHP;2020-02-18;0
Pohjois-Pohjanmaan SHP;2020-02-18;0
Kainuun SHP;2020-02-18;0
Länsi-Pohjan SHP;2020-02-18;0
Lapin SHP;2020-02-18;0
Helsingin ja Uudenmaan SHP;2020-02-18;0
Kaikki Alueet;2020-02-18;0
Ahvenanmaa;2020-02-19;0
Varsinais-Suomen SHP;2020-02-19;0
Satakunnan SHP;2020-02-19;0
Kanta-Hämeen SHP;2020-02-19;0
Pirkanmaan SHP;2020-02-19;0
Päijät-Hämeen SHP;2020-02-19;0
Kymenlaakson SHP;2020-02-19;0
Etelä-Karjalan SHP;2020-02-19;0
Etelä-Savon SHP;2020-02-19;0
Itä-Savon SHP;2020-02-19;0
Pohjois-Karjalan SHP;2020-02-19;0
Pohjois-Savon SHP;2020-02-19;0
Keski-Suomen SHP;2020-02-19;0
Etelä-Pohjanmaan SHP;2020-02-19;0
Vaasan SHP;2020-02-19;0
Keski-Pohjanmaan SHP;2020-02-19;0
Pohjois-Pohjanmaan SHP;2020-02-19;0
Kainuun SHP;2020-02-19;0
Länsi-Pohjan SHP;2020-02-19;0
Lapin SHP;2020-02-19;0
Helsingin ja Uudenmaan SHP;2020-02-19;0
Kaikki Alueet;2020-02-19;0
Ahvenanmaa;2020-02-20;0
Varsinais-Suomen SHP;2020-02-20;0
Satakunnan SHP;2020-02-20;0
Kanta-Hämeen SHP;2020-02-20;0
Pirkanmaan SHP;2020-02-20;0
Päijät-Hämeen SHP;2020-02-20;0
Kymenlaakson SHP;2020-02-20;0
Etelä-Karjalan SHP;2020-02-20;0
Etelä-Savon SHP;2020-02-20;0
Itä-Savon SHP;2020-02-20;0
Pohjois-Karjalan SHP;2020-02-20;0
Pohjois-Savon SHP;2020-02-20;0
Keski-Suomen SHP;2020-02-20;0
Etelä-Pohjanmaan SHP;2020-02-20;0
Vaasan SHP;2020-02-20;0
Keski-Pohjanmaan SHP;2020-02-20;0
Pohjois-Pohjanmaan SHP;2020-02-20;0
Kainuun SHP;2020-02-20;0
Länsi-Pohjan SHP;2020-02-20;0
Lapin SHP;2020-02-20;0
Helsingin ja Uudenmaan SHP;2020-02-20;0
Kaikki Alueet;2020-02-20;0
Ahvenanmaa;2020-02-21;0
Varsinais-Suomen SHP;2020-02-21;0
Satakunnan SHP;2020-02-21;0
Kanta-Hämeen SHP;2020-02-21;0
Pirkanmaan SHP;2020-02-21;0
Päijät-Hämeen SHP;2020-02-21;0
Kymenlaakson SHP;2020-02-21;0
Etelä-Karjalan SHP;2020-02-21;0
Etelä-Savon SHP;2020-02-21;0
Itä-Savon SHP;2020-02-21;0
Pohjois-Karjalan SHP;2020-02-21;0
Pohjois-Savon SHP;2020-02-21;0
Keski-Suomen SHP;2020-02-21;0
Etelä-Pohjanmaan SHP;2020-02-21;0
Vaasan SHP;2020-02-21;0
Keski-Pohjanmaan SHP;2020-02-21;0
Pohjois-Pohjanmaan SHP;2020-02-21;0
Kainuun SHP;2020-02-21;0
Länsi-Pohjan SHP;2020-02-21;0
Lapin SHP;2020-02-21;0
Helsingin ja Uudenmaan SHP;2020-02-21;0
Kaikki Alueet;2020-02-21;0
Ahvenanmaa;2020-02-22;0
Varsinais-Suomen SHP;2020-02-22;0
Satakunnan SHP;2020-02-22;0
Kanta-Hämeen SHP;2020-02-22;0
Pirkanmaan SHP;2020-02-22;0
Päijät-Hämeen SHP;2020-02-22;0
Kymenlaakson SHP;2020-02-22;0
Etelä-Karjalan SHP;2020-02-22;0
Etelä-Savon SHP;2020-02-22;0
Itä-Savon SHP;2020-02-22;0
Pohjois-Karjalan SHP;2020-02-22;0
Pohjois-Savon SHP;2020-02-22;0
Keski-Suomen SHP;2020-02-22;0
Etelä-Pohjanmaan SHP;2020-02-22;0
Vaasan SHP;2020-02-22;0
Keski-Pohjanmaan SHP;2020-02-22;0
Pohjois-Pohjanmaan SHP;2020-02-22;0
Kainuun SHP;2020-02-22;0
Länsi-Pohjan SHP;2020-02-22;0
Lapin SHP;2020-02-22;0
Helsingin ja Uudenmaan SHP;2020-02-22;1
Kaikki Alueet;2020-02-22;1
Ahvenanmaa;2020-02-23;0
Varsinais-Suomen SHP;2020-02-23;0
Satakunnan SHP;2020-02-23;0
Kanta-Hämeen SHP;2020-02-23;0
Pirkanmaan SHP;2020-02-23;0
Päijät-Hämeen SHP;2020-02-23;0
Kymenlaakson SHP;2020-02-23;0
Etelä-Karjalan SHP;2020-02-23;0
Etelä-Savon SHP;2020-02-23;0
Itä-Savon SHP;2020-02-23;0
Pohjois-Karjalan SHP;2020-02-23;0
Pohjois-Savon SHP;2020-02-23;0
Keski-Suomen SHP;2020-02-23;0
Etelä-Pohjanmaan SHP;2020-02-23;0
Vaasan SHP;2020-02-23;0
Keski-Pohjanmaan SHP;2020-02-23;0
Pohjois-Pohjanmaan SHP;2020-02-23;0
Kainuun SHP;2020-02-23;0
Länsi-Pohjan SHP;2020-02-23;0
Lapin SHP;2020-02-23;0
Helsingin ja Uudenmaan SHP;2020-02-23;0
Kaikki Alueet;2020-02-23;0
Ahvenanmaa;2020-02-24;0
Varsinais-Suomen SHP;2020-02-24;0
Satakunnan SHP;2020-02-24;0
Kanta-Hämeen SHP;2020-02-24;0
Pirkanmaan SHP;2020-02-24;0
Päijät-Hämeen SHP;2020-02-24;0
Kymenlaakson SHP;2020-02-24;0
Etelä-Karjalan SHP;2020-02-24;0
Etelä-Savon SHP;2020-02-24;0
Itä-Savon SHP;2020-02-24;0
Pohjois-Karjalan SHP;2020-02-24;0
Pohjois-Savon SHP;2020-02-24;0
Keski-Suomen SHP;2020-02-24;0
Etelä-Pohjanmaan SHP;2020-02-24;0
Vaasan SHP;2020-02-24;0
Keski-Pohjanmaan SHP;2020-02-24;0
Pohjois-Pohjanmaan SHP;2020-02-24;0
Kainuun SHP;2020-02-24;0
Länsi-Pohjan SHP;2020-02-24;0
Lapin SHP;2020-02-24;0
Helsingin ja Uudenmaan SHP;2020-02-24;0
Kaikki Alueet;2020-02-24;0
Ahvenanmaa;2020-02-25;0
Varsinais-Suomen SHP;2020-02-25;0
Satakunnan SHP;2020-02-25;0
Kanta-Hämeen SHP;2020-02-25;0
Pirkanmaan SHP;2020-02-25;0
Päijät-Hämeen SHP;2020-02-25;0
Kymenlaakson SHP;2020-02-25;0
Etelä-Karjalan SHP;2020-02-25;0
Etelä-Savon SHP;2020-02-25;0
Itä-Savon SHP;2020-02-25;0
Pohjois-Karjalan SHP;2020-02-25;0
Pohjois-Savon SHP;2020-02-25;0
Keski-Suomen SHP;2020-02-25;0
Etelä-Pohjanmaan SHP;2020-02-25;0
Vaasan SHP;2020-02-25;0
Keski-Pohjanmaan SHP;2020-02-25;1
Pohjois-Pohjanmaan SHP;2020-02-25;0
Kainuun SHP;2020-02-25;0
Länsi-Pohjan SHP;2020-02-25;0
Lapin SHP;2020-02-25;0
Helsingin ja Uudenmaan SHP;2020-02-25;0
Kaikki Alueet;2020-02-25;1
Ahvenanmaa;2020-02-26;0
Varsinais-Suomen SHP;2020-02-26;0
Satakunnan SHP;2020-02-26;0
Kanta-Hämeen SHP;2020-02-26;0
Pirkanmaan SHP;2020-02-26;0
Päijät-Hämeen SHP;2020-02-26;0
Kymenlaakson SHP;2020-02-26;0
Etelä-Karjalan SHP;2020-02-26;0
Etelä-Savon SHP;2020-02-26;0
Itä-Savon SHP;2020-02-26;0
Pohjois-Karjalan SHP;2020-02-26;0
Pohjois-Savon SHP;2020-02-26;0
Keski-Suomen SHP;2020-02-26;0
Etelä-Pohjanmaan SHP;2020-02-26;0
Vaasan SHP;2020-02-26;0
Keski-Pohjanmaan SHP;2020-02-26;0
Pohjois-Pohjanmaan SHP;2020-02-26;0
Kainuun SHP;2020-02-26;0
Länsi-Pohjan SHP;2020-02-26;0
Lapin SHP;2020-02-26;0
Helsingin ja Uudenmaan SHP;2020-02-26;0
Kaikki Alueet;2020-02-26;0
Ahvenanmaa;2020-02-27;0
Varsinais-Suomen SHP;2020-02-27;0
Satakunnan SHP;2020-02-27;0
Kanta-Hämeen SHP;2020-02-27;0
Pirkanmaan SHP;2020-02-27;0
Päijät-Hämeen SHP;2020-02-27;0
Kymenlaakson SHP;2020-02-27;0
Etelä-Karjalan SHP;2020-02-27;0
Etelä-Savon SHP;2020-02-27;0
Itä-Savon SHP;2020-02-27;0
Pohjois-Karjalan SHP;2020-02-27;0
Pohjois-Savon SHP;2020-02-27;0
Keski-Suomen SHP;2020-02-27;0
Etelä-Pohjanmaan SHP;2020-02-27;0
Vaasan SHP;2020-02-27;0
Keski-Pohjanmaan SHP;2020-02-27;0
Pohjois-Pohjanmaan SHP;2020-02-27;0
Kainuun SHP;2020-02-27;0
Länsi-Pohjan SHP;2020-02-27;0
Lapin SHP;2020-02-27;0
Helsingin ja Uudenmaan SHP;2020-02-27;1
Kaikki Alueet;2020-02-27;1
Ahvenanmaa;2020-02-28;0
Varsinais-Suomen SHP;2020-02-28;0
Satakunnan SHP;2020-02-28;0
Kanta-Hämeen SHP;2020-02-28;0
Pirkanmaan SHP;2020-02-28;0
Päijät-Hämeen SHP;2020-02-28;0
Kymenlaakson SHP;2020-02-28;0
Etelä-Karjalan SHP;2020-02-28;0
Etelä-Savon SHP;2020-02-28;0
Itä-Savon SHP;2020-02-28;0
Pohjois-Karjalan SHP;2020-02-28;0
Pohjois-Savon SHP;2020-02-28;0
Keski-Suomen SHP;2020-02-28;0
Etelä-Pohjanmaan SHP;2020-02-28;0
Vaasan SHP;2020-02-28;0
Keski-Pohjanmaan SHP;2020-02-28;0
Pohjois-Pohjanmaan SHP;2020-02-28;0
Kainuun SHP;2020-02-28;0
Länsi-Pohjan SHP;2020-02-28;0
Lapin SHP;2020-02-28;0
Helsingin ja Uudenmaan SHP;2020-02-28;2
Kaikki Alueet;2020-02-28;2
Ahvenanmaa;2020-02-29;0
Varsinais-Suomen SHP;2020-02-29;0
Satakunnan SHP;2020-02-29;0
Kanta-Hämeen SHP;2020-02-29;0
Pirkanmaan SHP;2020-02-29;0
Päijät-Hämeen SHP;2020-02-29;0
Kymenlaakson SHP;2020-02-29;0
Etelä-Karjalan SHP;2020-02-29;0
